,VICTIMA_PERUANA,EDAD_VICTIMA,VICTIMA_GESTANDO,N_HIJOS,ESTADO_CIVIL_VICTIMA,ESTUDIA,TRABAJA_VICTIMA,TIENE_SEGURO,DIST_DOMICILIO
9562,1,10,0,0,1,1,0,1,Lurigancho
9563,1,10,0,0,1,1,0,1,Lurigancho
9564,1,10,0,0,1,1,0,1,Lurigancho
9565,1,35,0,1,1,0,1,1,Lurigancho
9566,1,11,0,0,1,1,0,1,Lurigancho
9567,1,11,0,0,1,1,0,1,Lurigancho
9568,1,23,0,1,1,0,1,1,Lurigancho
9571,1,15,0,0,1,1,0,1,Lurigancho
9574,1,36,0,1,1,0,1,0,Lurigancho
9575,1,32,0,0,1,0,0,1,Lurigancho
9576,1,4,0,0,1,1,0,1,Lurigancho
9577,1,33,0,1,1,0,0,1,Lurigancho
9578,1,11,0,0,1,1,0,1,Lurigancho
9580,1,19,1,0,1,0,0,1,Santa Anita
9581,1,12,0,0,1,1,0,1,Chaclacayo
9582,1,16,0,0,1,1,0,1,Lurigancho
9583,1,26,0,1,1,0,0,1,Lurigancho
9584,1,33,0,1,1,1,1,1,Lurigancho
9585,1,27,0,1,1,0,0,1,San Martin de Porres
9586,1,5,0,0,1,1,0,1,San Martin de Porres
9589,1,10,0,0,1,1,0,1,Lurigancho
9590,1,11,0,0,1,1,0,1,Lurigancho
9591,1,14,0,0,1,1,0,1,Lurigancho
9592,1,14,0,0,1,1,0,1,Lurigancho
9593,1,23,0,0,1,1,0,0,Lurigancho
9594,1,47,0,1,1,0,1,1,Lurigancho
9595,1,46,0,0,1,0,0,1,Lurigancho
9596,1,38,0,1,1,0,0,1,Lurigancho
9600,1,45,0,1,1,0,0,1,Lurigancho
9601,1,6,0,0,1,1,0,1,Lurigancho
9602,1,5,0,0,1,1,0,1,Lurigancho
9603,1,79,0,1,1,0,0,1,Lurigancho
9604,1,38,0,1,1,0,0,0,Lurigancho
9605,1,5,0,0,1,1,0,0,Lurigancho
9607,1,51,0,0,1,0,1,0,Lurigancho
9608,1,34,0,1,1,0,0,1,Magdalena del Mar
9609,1,9,0,0,1,1,0,1,Magdalena del Mar
9610,1,47,0,1,1,1,0,1,Lurigancho
9611,1,61,0,1,1,0,1,1,Lurigancho
9612,1,12,0,0,1,1,0,1,Lurigancho
9614,1,23,0,1,1,0,0,1,Lurigancho
9617,1,8,0,0,1,1,0,1,Lurigancho
9618,1,8,0,0,1,1,0,1,Lurigancho
9623,1,16,0,0,1,0,0,1,Lurigancho
9625,1,13,0,0,1,1,0,1,Lurigancho
9627,1,42,0,1,1,0,0,1,Santa Anita
9630,1,42,0,1,1,0,1,1,Lurigancho
9631,1,44,0,1,1,0,0,1,Lurigancho
9633,1,27,0,1,1,0,1,0,Lurigancho
9634,1,41,0,0,1,0,1,1,Lurigancho
9635,1,42,0,1,1,0,0,1,Lurigancho
9636,1,17,0,0,1,0,0,1,Lurigancho
9637,1,17,0,0,1,0,0,1,Lurigancho
9639,1,30,0,1,1,0,1,0,Ate
